comment_text,label
"ý kiến riêng, có một nhược điểm chung của cả 2 cậu Song- Kim này là gương mặt quá hack tuổi.
2 cậu trông đều quá trẻ, nhất là vào phim áp thêm filter nữa thì cảm giác cho đóng vai học sinh sinh viên vẫn được. Có điều chính vì thế mà khi cần đóng những vai già dặn hoặc sương gió hơn thì 2 cậu bị hạn chế.",0
Thôi để yên cho ông Ki dùm. Vài ngày lại lôi ổng lên m mệt k chứ t mệt rồi đó,0
"Sao thấy mọi ng ít nhắc tới Lee Seung Gi trong các cuộc so sánh nhỉ, mặc dù rating phim có LSG luôn cao và thù lao cho mỗi tập của LSG cũng cao ngất ngưởng 🤔",0
Lmh huyền thoại hàn quốc biểu tượng quốc gia r. K ai soán ngôi dk đâu,0
"Phim Quân Vương Bất Diệt đối với mình rất rất rất hay, mình xem đi xem lại và lần nào cũng khóc, lúc phim mới ra là mình mới đẻ bé nhà mình mà chồng mình thấy mình xem mà khóc thế còn cấm xem cơ, xong bảo ổng xem cùng ông cũng mê luôn!
Ai mà tua thì sẽ không hiểu hết từng chi tiết, nội dung bộ phim đâu, có những chi tiết mình thấy cũng cấn cấn mà giờ xem lại lần thứ 3, thứ 4 rồi thì mình lại thấy nó rất hợp lý 💗
Chemistry cũng rất nhiều chứ ko đến mức nhạt nhòa, cái cảnh Lee Min Ho đến cứu Kim Go Eun đúng đỉnh, xem bả kiên cường, nghị lực ghê gớm mà nhìn thấy anh nhà là khóc ngất liền.",1
"Dù có flop hay không tui vẫn mê Ji Chang Wook💗
Ji Chang Wook is the best😍",1
Panchinko thì ko flop nhưng LMH trong phim đó thì nhạt nhoà thật sự. Nói chung t chả đánh giá cao mấy anh dv Hallyu này vì mấy ảnh 1 màu và chỉ đóng tròn vai thôi. Điểm chung là đều flop điện ảnh =)),0
"Đang xem Queen of tears và Vincenzo, cuốn thiệt sự, t thấy KSH nhìn đóng tấu hài rất hợp, mặt ổng kiểu baby cute🤭, phim này thì ảnh chưa dc cool ngầu lắm vì nữ 9 làm tốt phần đó, còn xem Vin thì SJK đóng hay, mặt cũng baby mà hơi lém, chắc do kịch bản bắn súng nên hành động nhìn ngầu, nữ 9 dáng cao nhìn sang, coi song song thấy hay phết 😎",1
"1 lee jong suk
2 ji chang wook
3 kim soo huyn
Ai chứ JCW đóng film hay vãi. Kén ng xem chút chứ ổng đóng ko hề flop xíu nào nha.",1
"gì mài, đừng quên Lee Jun Ki của teo",0
Lee Jong Suk đóng là t vẫn coi nhé,0
"JCW hợp phim hđ í, ngầu mà..còn vđề lựa k.bản chắc ai xem cũng hiểu rồi 😂 tiếc chớ bộ.
Vịt chắc nay về ẩn đi coi concept của dợ vớ chăm dợ roài quá..đg chờ P3 STNT thấy có mặt ãnh trong đó..KSH ai chê thì chê chứ t vẫn mê từ VSĐAT đến giờ hễ có phim là cày, SJKi thì tùy hứng, LMH sang r nên chỉ đóng vai sang thôi, nghèo nhìn k ngấm đc ấy..",0
Vẫn mê sjk nhất nha hh,1
"nhưng mà JCW đóng toàn hành động hay mà, nhưng rating thấp vì kén ng xem..
tui thì thích hành động hơn
cậu út nhà tài phiệt mà hay á , thấy tạo hình nv thì ok chứ diễn thì...",0
SJK vẫn là 1 cái gì đấy làm mình muốn xem phim của A ấy,1
Mãi iu Le min huuu,1
Lee Min Ho vẫn luôn top 1 đối với mình ❤️,1
"Công nhận mê LMH mà dạo này ô k đóng phim mấy xong cũng chả có phim gì nổi bật á,ô cứ nghỉ an dưỡng lại nên bắt đầu bếu,khi nào có phim lại giảm cân đẹp zai như thường 🤣",1
Kim Soo Hyun mê từ dream 2 tới phim này. Quá mê 😍😍😍😍,1
Viết cái gì vậy trời? Wookie chỉ là chưa bao giờ có duyên với các giải thưởng thôi chứ phim nào của ảnh cũng hay mà. Hai phim vừa rồi cũng rất viral chứ đâu có phải flop gì đâu chứ? Xem worst evil còn thấy ám ảnh diễn xuất của anh luôn đó! 😞,0
"Đù. A wook flop lúc nào, ms có samdalji hay quá trời chữa lành quad trời",0
LMH quân vương bất diệt hay ma,0
"JCW thị trường Hàn ko nóng mấy, mà Nhật mờ ê mê nha 😂 nói j chứ ảnh mãi đỉnh trong lòng toy 🥹🥹phim nào ảnh đóng tui củng thấy hay 🤣 quan trọng trong mấy sao nam cùng thời, thấy JCW nam tính nhất lun =)))) chắc mê nên thấy z",1
Điêu ck t flop lúc nào,0
Lee minho có flop dou =))))),0
Toàn mấy anh tôy mê 🥹 mê nhất LJS á 😂,1
"Khanh Linh Tran t thấy ông này k có dáng ô chùm. Đóng chả có phong cách gì. Mồm thì lúc nào cũng chu chu lên. Đóng hậu duệ mặt trời là nhờ shk mới nổi. Chứ xem ông này diễn nhạt nhẽo. Mình sau khi xem HDMT thấy hay, tìm hết phim ông này xem mà không tiêu hoá đc phim nào cả",-1
Do kịch bản phim hay ko thôi! Chứ diễn viên thì quá là ok rồi!,0
Lee jun ki thì sao nhỉ,0
"SJK chê nha 😂 trong Queen of tears lên hình chung với KSH là nhìn mẻ ra chuồng gà lun á, cái nét mẻ SJK từ từ nhìn cứ ái ái kiểu gì",-1
"Năm ngoái a Ji Chang Wook cũng có 2 phim đc mọi người support nhiều ""Tội ác kinh hoàng "",""Chào mừng đến với Samdalri ""
Mong mọi người hãy ủng hộ và đón nhận nhiều bộ phim của a 🫰😊😊😊",0
SJK diễn xuất bth,0
Quân vương bất diệt hay như thế mà bảo flop 😗,0
T cứ có cảm giác Lee Min Ho diễn đúng 1 màu 🤣🤣🤣,0
"Tội Ác Kinh Hoàng của JCW ko hay, ko chất lượng và ko HOT à mà chỉ khen 2ng kia? Phán buồn cười !!",0
Annie Vũ fan anh nào bi giờ,0
Sjk ksh lmh đóng phim nào cũng hay 🥳,1
Đấy là b chỉ nhìn mảng truyền hình thôi =))))),0
"LJS mãi đỉnh nha. Chưa bg thất vọng về phim của ổng lun, chọn kịch bản okela quá tròi",1
"LMH mà Flop á, nhầm to rồi thớt",0
T chỉ thắc mắc là Kim Soo Huyn 8x á 😀 nhìn ổng mà t tưởng lứa đầu 9x chớ 😀 trẻ vkl,0
hic có ai mê Kim Bum hem 🤣🤣🤣 dù flop thấy mẹ mà vẫn mê,0
Bỏ chồng Hô nhà t ra. Ảnh ko cần hot 🥲,0
"Vẫn thích KSH nhất, vẻ ngoài hiền lành, nhiều phim hay",1
"Ủa a nào chả nhiệt, vẫn nóng bỏng hết mà☺",0
Lee Dong Wook nữa nha :v,0
Còn Park Seo Joon mà k thấy nhắc,0
Vẫn mãi 1 tình yêu vs Wookie nha ❤️,1
mn ơi phim hạng S là ntn vậy,0
Bớt so sánh cho nó sang :),0
Rồi LMH flop chỗ nào 😀,0
Tui thích nét đẹp của Lee Jong Suk nha. Đẹp cứ hút hút làm sao ấy,1
"Ji Chang Wook phim hay nhé mà bảo hết thời, t xem phim Ji Chang Wook còn ko xem 1 bộ phim nào của SJK luôn, xem Hậu Duệ Mặt Trời đc 2,3 tập đầu bỏ ngang luôn.",0
Ai rồi cũng qua thời kì đỉnh cao nhưng quan trọng họ từng là những ngôi sao mà người hâm mộ phim Hàn quốc k bao giờ quên tên,0
Ủa lee jong suk như vậy mà chưa thật sự bùng nổ sao chủ tus tém lại dùm 🙄🙄,0
"Ăn nói xà lơ quá Ad😂
Điểm lại đi nhé",0
"Cũng mọt phim Hàn nhiều đời từ những phim đời đầu, nhưng ko xem đc phim nào của SJK. Đã thử xem hậu duệ mặt trời nhưng sang tập t2 thì bỏ, cậu út tài phiệt chỉ xem review & thấy vai phụ đỉnh, vicenzo thì chịu cố đc đến tập 5, vì mặt búng ra sữa mà đóng mafia nó kỳ, thêm vào cố tỏ ra ngầu thành cảm giác lấc ca lấc cấc hơn là mafia thứ thiệt. KSH thì chọn kịch bàn ok, DH, VSDAT & ĐTCS đều hay. LMH thì ng tình quốc dân trong mắt con gái rồi ( nên mình ko quá thích) & quá viral đến nỗi ai ko xem phim Hàn cũng sẽ biết, nên dù chọn kịch bản thất thường nhưng công nhận hình tượng thành chấp niệm trong mắt nhiều ng quá thành ra khó ai vượt qua á.",0
Hãy tha cho a ho nhà t đi. Mãi yêu LMH,0
Hàn họ k cần nhiệt họ cần sự công nhận🙂,0
Ji Chang Wook có bộ Samdalri ms hay mà,0
"Cho Ji Chang Wook đánh phim hành độg coi, chịu gì nổi nhiệt",0
Cười ẻ.,0
Chê SJK nha,-1
"Anh Kim Tú Hiền đã làm gì mà các bạn nỡ lòng nào lên bài kéo anti cho ảnh vậy 😂😂😂 Cbiz fan còn đấm nhau vs luyện thủy quân chứ Kbiz hầu như ai cũng có thực lực, tranh cãi nó mắc cười lắm vì ko có đáng để tranh cãi. Thế hệ 8X sao ko lôi cả Lee Jun Ki với Park Seo Joon vào cho đủ bộ??? :)))) Hai anh này thì chưa cần đóng phim chỉ xuất hiện thôi đã hot r :))) Còn mấy anh trên post thì cái gì cũng có chỉ là chọn kịch bản lâu lâu bị xu, cũng có thể là ko tranh đc kịch bản tốt thôi, chứ các anh diễn vẫn đỉnh, vẫn đẹp.",0
Thích xem các anh đóng hết nha,1
Tội ác kinh hoàng của Wook quá hay luônn,1
Park Seo Joon về hưu rồi ah?,0
Wook chắc tay nhất k khen,0
"JCW là do phim ổng flop thôi chứ không thể chê diễn xuất của ổng được, mấy bộ phim gần đây của ổng cũng hay mà chẳng qua không nổi",0
"t xin phép lôi cả 5 anh về, họ còn đóng phim là còn cống hiến cho nghệ thuật. Bộ mày mắc so sánh lắm hả ?",0
Chắc gu tôi kh giống số đông chứ mê 3a flop :))) 😅,0
Lee jong suk đong phim nào mà ko hót trời tui mê phim ông đong lắm à 🥰,0
"JCW có tội ác kinh hoàng, các bà nên xem. Phim đỉnh quá trời, flop chỗ nào ạ 🤣🤣",0
Ủa ông Thần chết kp 8x hả mn,0
Gì? Lee Jong Suk ổng không có phim mới từ mấy năm nay do bận đi tour meeting chứ không phải đó là bằng chứng để m nghĩ ổng flop nha trời,0
Đối với m thì LJS với KSH là nghiện xem phim 2 ông này nhất thôi,1
Ủa còn park seo joon thì sao ạ,0
Flop á kaka.lê min ho vẫn đỉnh lắm k cần đóng phim nhưng độ hót của min hô thì cũng xách dép k theo kip đâu,0
Chắc a Dồi chồng tui quy tiên rồi hay j 😑,0
"Lee min ho kiểu khuôn mặt và vóc dáng luôn mang phong cách nhà giàu nên khó đóng vai nghèo, chứ không pải một màu hay fail. Huyền thoại luôn rồi ấy chứ",0
Mê mỗi JCW với KSY kk,1
Kiếm phim tổng tài nào cho anh Wook ảnh zô vai nhà giàu ngầu ngầu với chứ ảnh cứ đóng vai nghèo nghèo hài hài quài zị thấy thương quá :)),0
Lại dẫm mấy anh khác nữa à anh H của tui Flop lắm nên khỏi cần réo tên ảnh nữa flop quá mà hỗm rài réo miết,0
Các ộp pa có flop hay ko thì vẫn rất giàu và đẹp choai nhé các e😅 Tự dưng đem ra so sánh câu view😑,0
Ủa có nhầm kh má,0
Lee Min Ho mãi đỉnh 👍,1
"tui thấy quân vương bất diệt của Lee Min Ho nổi mà nhỉ chỉ là kh đến mức nổi ""rần rần"" th, sao có thể gán mác cho ngta là phim thất bại vậy",0
"Bạn k thích kệ bạn 🤡 ng ta vẫn hot ra phim vẫn nhìu ng xem thích là được chứ tui k ưa cái cách kéo anti về kiểu nâng ng này dìm ng khác như vậy đâu, để ng ta yên ổn đi ạ then kiu",0
"JCW diễn hay mà có mỗi cái phim phép thuật gì đó tôi thấy đoạn cut ko hay chứ tội ác kinh hoàng với tình yêu chốn đô thị đóng với KJW hay vải k đến nỗi flop đâu😭
Anh SJK toàn thấy kéo drama k tha nổi cho SHK",0
"Gì vậy, dàn 8x này trừ LMH ra, mấy ông còn lại gu phim của t k đó chời, bê về hết.",0
Ủa bài này có cop ở đâu ko nhỉ,0
Nói 8x mà kể được có mấy ông anh vậy chủ thớt 😂,0
3 anh flop thì cả 3 a là tui mê 🤩,0
Ủa sao JCW lại flop? Mới có Samdalri hay mà trời,0
"Anh Wook đang đóng queen woo, hình như vào vai vua=)), anh méo thích làm tài phiệt, anh thích làm vua=)))))",0
Flop nhưng ít ra nói tên cái ai cũng biết còn đỡ hơn mấy ng đóng phim xong ngta k nhớ nổi cái tên luôn,0
Ai nói gì thì nói chứ tui thấy LJS diễn đỉnh vch 🥲,1
Ji Chang Wook sau khi ông ấy tham gia running man thì tôi ko để xem phim ông ấy 1 cách bình thg đc 🤦,0
Phạm Hải Hà cuộc chạy đua của các anh chồng,0
Còn Jung Hea in của tui vẫn hot mà 😒,1
Ai sao chứ tui là cứ mê LMH nhé,1
Kim soo men mãi đỉnh,1
Pachinko giới phê bình khen nhiều mag 🤔,0
Ji Chang Wook diễn hay vãiiii,1
"Hic tội mấy anh Lee Jun Ki, Park Seo Joon, Gong Yoo, Lee Dong Wook, So ji Sub của tôi quá, mấy a quá flop luôn. Đẹp trai diễn oke mà k nổi :)",0
Xl k có lmh thì k có phim hàn như ngày hôm nay. Phim vườn sao băng của lmh đã đưa phim hàn trở lại đỉnh cao dk lan rộng ra cả châu á và quốc tế nhé. Lee min ho người tiên phong đưa làn sóng phim hàn trở lại đỉnh cao đó,1
"Ji Chang Wook năm ngoái có bộ cực hay làm t thay đổi cái nhìn về diễn xuất của ổng, bộ tội ác kinh hoàng xem xong mà t ấn tượng quá trời",1
lee seung gi top 1 lòng t,1
Yến Dương gòi ông nhà mình tới đâu b ơi😭,0
:)) ủa ji chang wook ống mới có phim the worst evil hay vcđ mà,1
Ji chang wook mới đây phim tội ác kinh hoàng xem hay mà :(((,1
Lê Thị Ánh Hà anh nào cũng xứng đáng đc yêu thương. Đừng chê ai khen ai quá đáng vậy chứ.,0
"Gu tui là Kim Soo Hyun và Lee Jong Suk, chưa bao giờ thích Song Jong Ki",0
Lee Jong Suk chắc diễn giỏi nhất dàn này,1
Chưa bh mê SJK luôn á.từ hồi Running man đã thấy ô sao sao á.đến hậu duệ mặt trời nổi v mà cũng xem chả xem,0
"vcl nói gì chứ kêu LJS flop thấy cấn cấn. mà Lee Dongwook vẫn còn đầy nhiệt, mà nêu ra mỗi 2 ông này",0
Ji Chang Wook vừa rồi có Worst of Evil đỉnh lắm mà,1
Duma ji chang wook có phim tội ác kinh hoàng hay vcl ra,1
"Mê ck iu Wook lắm mà sau K2 a chọn kịch bản xucana quá 🥹. K có phim nào ổng ra mà k coi, nhưng k đọng lại đc gì hết trong toy ngoài vẻ đẹp trai của ảnh 😭. Đúng là ck iu chỉ hợp mấy vai đánh đấm đồ nhìn trông ngầu vcl, lần đầu coi Healer thì Lee Min Ho chỉ còn là cái tên 🤣",0
"Nhưng trong các anh này tui thích mỗi anh LJS nha huhu
Ảnh chỉ cần cười cái trái tim mệt mỏi íu đuối của tui tan chảyyyyyy
Tự dưng đang chán nản iu đời trở lại",1
mấy ông kia chắc chuẩn bị lên xe bông hết r,0
JCW quay lại phim hành động là lại OK luôn,1
"Ngưu tầm ngưu mã tầm mã. Chưa đôi nào mà t ghét cả đôi bên như này. Đc cái t ko phải fan cp, chỉ có cảm tình với Win, Instagram cũng chỉ fl Win",-1
"Như 1 vị tiến sĩ đã nói "" tôi làm cái gì mà mn nghĩ chúng tôi yêu nhau "". Trời nóng cái mấy anh cho mấy gáo nước, mát thì thoai nhé lun 🤡",0
"Tui nhớ lúc trc từng thấy ai đăng là Bright nói :""Không Phải là Win thì em Không Chịu Được"" hay sao á, ủa r tin này real hay tin kì thị real ???",0
"Nhớ hồi đó ổng còn nói ""Nếu mn thương em thì thương của Win nữa nhé"" cứ tưởng là ổng cũng thương Win ai dè thương hại anh bé vì nếu mn không thương anh bé thì không ai thương cả=) lươn lẹo vl",-1
"Hồi mới nổ ra hh t còn thấy bth =))) kiểu yeh anh có quyền yêu mà, với t cũng ko mặn nồng với cp BW như ngày xưa. Nhưng t đọc chạp mấy cái phốt t qua anti cái rẹt và unfl sau ngày hôm đó luôn 😇 Thôi, dù sao ""thiên vị"" của t cũng là Win. Nên càng đọc càng ứa gan với cái nết của anh B 🌱",-1
Chơi với Mew là nết i chang 🤣,0
"Diễn xuất á ? Trong phim anh có thể đơ, nhưng trong đời anh diễn đỉnh",0
rồi mấy mẹ bênh thì vào đây đọc cho sáng mắt🤩,0
"Hồi đó không dám chê, sợ bị tế, giờ nhiều người chê quá cho chê ké 1 miếng nha =))",-1
A ta diễn phim thì đơ mà diễn cái này thì mượt k 1chút sơ hở,-1
trong phim diễn không tốt thì thôi chứ ngoài đời anh diễn đúng tài đúng giỏi 😃,-1
trong phim diễn có thể dở chứ ngoài đời diễn cứ phải gọi là k có chỗ chê ^^,-1
Oscar nợ anh một tượng vàng😂,1
A diễn phim thì đơ mà diễn với fan thì kh ai bằng =))) nhờ xào cp mới nổi lên chứ a mà tự thực lực có mà flop ói ỉaaa,-1
"Anh này có bạn gái thì không sao, quan trọng là cái nết của ảnh thôi :v",0
"nghe an toàn,ấm áp ở bên nhau đồ đó là t đã thẳng tay drop a này r nhé 😔",0
Hên là hồi đấy chỉ xem phim vì thấy hot chứ k đu ☺🙏,0
"Ata hiện giờ còn unfl Win cơ mà , cái đó có là j",0
"Hiếm idol nào công khai hẹn hò mà đc như này, nhất cặp này rồi",0
Hên quá sau vụ a M dấu tên thì t cũng ngộ ra vài điều nên chỉ dám xem chứ không dám đu,0
"Anh B ảnh mà không thả hint thì chắc fan cp cũng không đu nhiều đến đợt vừa rồi, anh thẳng mà anh TẶNG NHẪN cho BRO, ảnh HUN gió, ảnh ÔM EO. Nhìn vào hint của Win thả cho fan cp ít lắm, toàn kiểu anh em thân thiết, bro, gia đình thôi =)))",0
"hồi đó t mê lắm mê khùng mê điên luôn á bây , nhớ hồi nào có tin đồn ổng bị lộ clip t còn k tin, cho là người giống người thôi =))) giờ xem lại công nhận là y đúc cái mặt ổng k lệch vào ai được, thất vọng ghê",-1
"Được cái fan a bai hay bảo ảnh có tài k cần ràng buộc cp vẫn nổi lên tài nguyên ầm ầm. Nhưng mà xl ảnh mà k có phim bl làm bệ đỡ thì sợ giờ ảnh vẫn lênh đênh kiếp flop chớ ngồi đó mà chê mà kêu k thèm bú. Tuổi nghề cg ngót nghét gần chục xuân rồi mà vẫn đơ, hát thì dứt mãi k ra hơi hát đú theo gió hả ba, a hát mà e tưởng a xoang k á",-1
"Cf, lý do N bị fan Trung ghét vì” hãy donate cho mình, mình sẽ nổi tiếng, m sẽ thành công.
Trong 1 bài Pvan, an B cũng nói coa tcam với chị N trước đó trong lúc chung đoàn phim:) và oke, lúc đó anh B chưa Ctay C Nneavy",-1
"Mặt tối của phim bl TL là dv cong thì sẽ o cho đóng, dv phim bl 1 số họ nổi tiếng nhờ fan ,tạo hint với bn diễn, nôm na như là bán hủ ,sau khi đc nổi tiếng này nọ, 1 thời gian sau đều quen bn gái trong âm thầm, ra đời tạo hint như ôm, hôn nhẹ ...mặc dù là thẳng,t o ý kiến gì, t muốn nói là nhiều fan vẫn nhận biết phim là phim thôi, nhg cả ngoài đời đều cố tạo hint thì vẫn có nhiều fan nghĩ là thật ,như cố ý cho mn hiểu lầm ấy ,điều t o thc là tình cảm của bản thân dành cho idol nào đó bị đặt sai chỗ, kiểu o tôn trọng ấy, t thất vọng từ đó luôn ,o dám đu nữa, có con bn của t nó mê bộ do ông này đóng lắm ,t o dám hỏi gì luôn, sợ nó buồn, nó mua hình bo góc, rồi mọi thứ liên quan treo khắp phòng ... 😓",0
"Hình như vụ concert gì đó bị hủy lúc đầu fan tưởng do GMM hủy bên trách cty quá trời, ai dè giờ lòi ra anh B đòi hủy vì đi du lịch với cô N 🗿",0
"cả lúc mà đang đóng 2gether, B có bạn gái nm gần đây phỏng vấn thì ảnh bảo thích cô N từ hồi đó, mãi tới h khi N về Thái Lan mới có dịp tỏ tình:)
còn mấy vụ bê bối thời c3 nữa:) theo t tìm hiểu thì đấy là lý do dù BW rất nổi sau dự án 2gether nhưng nhà Gà kh cho ra phim mới:))
dcm 3 năm ship cp của t😭",0
"thứ gì chịu nỗi khi 1 đứa từng only B như t cũng đã xóa hết ảnh , unfl ig , tệ thật nhưng thấy đáng nha , dù bị nói là diễn tệ nhưng t cứ phớt lờ đi , cả chuyển kì thì lgbt nữa , giờ mới thấy hồi xưa đúng mê trai , ngu như bò😓",-1
